ResponseId,StartDate,Finished,region,gender,language_other_than_english,birth_year,is_school_student,school,school_level,adult1_occupation,adult2_occupation,activities_selected,pathway,n_activities,did_gals
R_MK0010793,2026-09-14 09:37:00,False,Geelong,Female,Yes,2014,Yes,Waurn Ponds PS,Year 6,"Healthcare, Nursing, & Medical Services","Technology, IT, & Digital Systems","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,8,True
R_MK0011527,2026-09-29 14:55:00,False,Ballarat,Female,No,2010,Yes,Sebastopol PS,Year 8,"Manufacturing, Factory Work, & Assembly","Creative Arts, Design, & Media","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0012224,2026-09-26 11:08:00,True,Geelong,Non-binary / third gender,No,2016,Yes,Corio North PS,Year 8,"Public Service, Police, Fire, & Emergency Services","Manufacturing, Factory Work, & Assembly","School club or lunchtime activity,University programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0013321,2026-09-21 09:07:00,True,Warnambool,Male,Yes,2015,Yes,Emmanuel SC,Year 7,"Creative Arts, Design, & Media","Creative Arts, Design, & Media",Tech school programs,School student,1,False
R_MK0014269,2026-09-15 09:10:00,True,Geelong,Male,No,2018,Yes,Bellarine PS,Year 9,"Home Duties, Homemaking, & Full-Time Caregiving","Education, Training, & Childcare","Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,False
R_MK0015367,2026-09-26 15:52:00,True,Ballarat,Male,No,2011,Yes,Wendouree PS,Year 9,"Creative Arts, Design, & Media","Healthcare, Nursing, & Medical Services","Tech school programs,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0016501,2026-09-23 10:43:00,True,Gippsland,Male,Yes,2018,No,"Presenting our project, I liked explaining it to the parents.",Year 10,"Trades, Construction, Building, & Maintenance","Retail, Sales, & Customer Service","School club or lunchtime activity,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,4,False
R_MK0017754,2026-09-16 09:06:00,False,Bendigo,Female,No,2017,Yes,Bendigo South SC,Year 8,Not sure,,"School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0018536,2026-09-19 09:29:00,True,Geelong,Female,Yes,2014,Yes,Corio North PS,Year 5,"Public Service, Police, Fire, & Emergency Services","Public Service, Police, Fire, & Emergency Services","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0019133,2026-10-11 09:39:00,False,Ararat,Male,Yes,2015,Yes,Pyrenees PS,Year 7,"Creative Arts, Design, & Media",Other,"Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,3,False
R_MK0020431,2026-10-04 15:24:00,True,Ballarat,Female,No,2011,Yes,Ballarat East SC,Year 8,Prefer not to say,Self-Employed / Small Business Owner,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup)",School student,3,False
R_MK0021482,2026-09-27 15:44:00,True,Geelong,Female,No,2011,Yes,Geelong West SC,Year 8,"Logistics, Driving, Delivery, & Warehousing","Creative Arts, Design, & Media","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,8,True
R_MK0022458,2026-10-02 12:46:00,True,Bendigo,Female,Yes,2009,Yes,Kangaroo Flat PS,Year 6,"Manufacturing, Factory Work, & Assembly",Not sure,"School club or lunchtime activity,University programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,6,True
R_MK0023977,2026-09-28 11:58:00,True,Gippsland,Female,No,2013,Yes,Traralgon East PS,Year 7,"Agriculture, Farming, & Outdoor Work",Other,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program",School student,5,True
R_MK0024720,2026-09-16 13:31:00,True,Warnambool,Female,No,2008,Yes,Merri River PS,Year 7,"Hospitality, Tourism, & Food Service","Public Service, Police, Fire, & Emergency Services","School club or lunchtime activity,Online STEM activities",School student,2,False
R_MK0025500,2026-10-09 10:44:00,True,Geelong,Male,No,2013,Yes,Corio North PS,Year 7,"Retail, Sales, & Customer Service","Public Service, Police, Fire, & Emergency Services",Tech school programs,School student,1,False
R_MK0026571,2026-10-03 13:07:00,True,Geelong,Female,No,2013,Yes,Corio North PS,Year 8,"Trades, Construction, Building, & Maintenance","Retail, Sales, & Customer Service","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program,Online STEM activities",School student,5,True
R_MK0027927,2026-10-01 14:47:00,True,Ballarat,Female,No,2009,No,I liked that we could test our own ideas even when they didn't work.,Year 7,"Home Duties, Homemaking, & Full-Time Caregiving","Logistics, Driving, Delivery, & Warehousing","School club or lunchtime activity,Tech school programs,University programs,Girls as Leaders in STEM program",Post-school,4,True
R_MK0028258,2026-09-23 13:46:00,True,Warnambool,Female,No,2010,Yes,Merri River PS,Year 6,"Administration, Office Support, & Desk Roles",Not sure,"Girls as Leaders in STEM program,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,True
R_MK0029779,2026-10-02 13:24:00,True,Ballarat,Female,No,2011,No,"Programming the robot to move on its own, I'd never done that.",Year 6,Prefer not to say,"Agriculture, Farming, & Outdoor Work","Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,3,False
R_MK0030633,2026-09-28 13:51:00,True,Gippsland,Female,No,2016,Yes,Latrobe Valley SC,Year 6,"Technology, IT, & Digital Systems","Agriculture, Farming, & Outdoor Work","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program",School student,5,True
R_MK0031816,2026-09-23 12:00:00,False,Geelong,Female,No,2010,Yes,Geelong West SC,Year 8,"Manufacturing, Factory Work, & Assembly","Healthcare, Nursing, & Medical Services","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program",School student,6,True
R_MK0032287,2026-09-28 11:16:00,True,Bendigo,Female,No,2017,No,The excursion where we surveyed the wetlands.,Year 11,Other,"Administration, Office Support, & Desk Roles","School club or lunchtime activity,Girls as Leaders in STEM program",Post-school,2,True
R_MK0033998,2026-09-21 11:36:00,True,Warnambool,Male,No,2008,Yes,Emmanuel SC,Year 7,"Education, Training, & Childcare",Not sure,"University programs,Online STEM activities",School student,2,False
R_MK0034390,2026-09-20 14:05:00,True,Geelong,Female,No,2012,No,The excursion where we surveyed the wetlands.,Year 12,Not sure,"Healthcare, Nursing, & Medical Services","School club or lunchtime activity,Girls as Leaders in STEM program",Post-school,2,True
R_MK0035805,2026-10-12 15:42:00,True,Ballarat,Female,No,2014,Yes,Wendouree PS,Year 9,"Creative Arts, Design, & Media","Hospitality, Tourism, & Food Service","School club or lunchtime activity,University programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0036231,2026-09-18 10:58:00,True,Ballarat,Female,No,2010,No,Making the poster and the model together.,Year 9,"Agriculture, Farming, & Outdoor Work","Home Duties, Homemaking, & Full-Time Caregiving","Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,4,True
R_MK0037540,2026-10-12 12:17:00,True,Bendigo,Female,No,2009,No,I liked that we could test our own ideas even when they didn't work.,Year 12,"Agriculture, Farming, & Outdoor Work","Home Duties, Homemaking, & Full-Time Caregiving","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,6,False
R_MK0038406,2026-10-12 09:41:00,True,Geelong,Female,No,2016,Yes,Geelong West SC,Year 8,Self-Employed / Small Business Owner,Self-Employed / Small Business Owner,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0039929,2026-09-23 10:27:00,True,Gippsland,Female,No,2008,No,"Going to the university campus, I'd never been to one.",Year 5,"Healthcare, Nursing, & Medical Services",Prefer not to say,"Girls as Leaders in STEM program,Online STEM activities",Post-school,2,True
R_MK0040419,2026-10-04 13:02:00,True,Geelong,Female,No,2012,Yes,Bellarine PS,Year 6,"Agriculture, Farming, & Outdoor Work","Trades, Construction, Building, & Maintenance","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0041486,2026-10-12 12:19:00,False,Warnambool,Female,No,2015,Yes,Emmanuel SC,Year 6,"Retail, Sales, & Customer Service","Trades, Construction, Building, & Maintenance","School club or lunchtime activity,University programs,Online STEM activities",School student,3,False
R_MK0042213,2026-10-08 09:12:00,True,Warnambool,Female,Yes,2012,Yes,Emmanuel SC,Year 6,"Administration, Office Support, & Desk Roles",Prefer not to say,"Tech school programs,Girls as Leaders in STEM program",School student,2,True
R_MK0043282,2026-09-28 13:59:00,True,Ballarat,Female,No,2012,Yes,Sebastopol PS,Year 6,"Manufacturing, Factory Work, & Assembly","Healthcare, Nursing, & Medical Services","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0044213,2026-09-30 14:27:00,True,Bendigo,Female,No,2014,Yes,Kangaroo Flat PS,Year 5,"Logistics, Driving, Delivery, & Warehousing","Public Service, Police, Fire, & Emergency Services","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0045654,2026-10-02 10:32:00,True,Gippsland,Male,No,2016,Yes,Moe South PS,Year 8,"Agriculture, Farming, & Outdoor Work","Business, Finance, Management, & Legal","Tech school programs,Online STEM activities",School student,2,False
R_MK0046112,2026-10-03 11:49:00,True,Bendigo,Female,No,2018,Yes,Eaglehawk PS,Year 7,Not sure,"Business, Finance, Management, & Legal","Girls as Leaders in STEM program,Online STEM activities",School student,2,True
R_MK0047577,2026-10-06 11:44:00,True,Gippsland,Female,No,2014,Yes,Traralgon East PS,Year 7,"Creative Arts, Design, & Media","Public Service, Police, Fire, & Emergency Services","Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,True
R_MK0048957,2026-09-21 12:36:00,True,Ballarat,Female,No,2017,Yes,Sebastopol PS,Year 6,"Trades, Construction, Building, & Maintenance","Manufacturing, Factory Work, & Assembly","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Online STEM activities",School student,5,False
R_MK0049860,2026-09-23 09:19:00,True,Geelong,Female,No,2014,Yes,Bellarine PS,Year 6,"Manufacturing, Factory Work, & Assembly","Agriculture, Farming, & Outdoor Work","Tech school programs,Online STEM activities",School student,2,False
R_MK0050307,2026-09-17 09:52:00,True,Warnambool,Male,No,2008,Yes,Merri River PS,Year 6,"Manufacturing, Factory Work, & Assembly","Logistics, Driving, Delivery, & Warehousing",School club or lunchtime activity,School student,1,False
R_MK0051679,2026-09-19 15:18:00,False,Ballarat,Female,No,2015,Yes,Ballarat East SC,Year 8,"Trades, Construction, Building, & Maintenance",Self-Employed / Small Business Owner,"School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0052370,2026-09-16 15:01:00,True,Geelong,Female,No,2013,Yes,Bellarine PS,Year 5,"Education, Training, & Childcare","Administration, Office Support, & Desk Roles","Tech school programs,Girls as Leaders in STEM program,Online STEM activities",School student,3,True
R_MK0053388,2026-09-28 10:42:00,True,Geelong,Female,Yes,2017,No,The video call with the scientist who works with livestock.,Year 8,Prefer not to say,"Public Service, Police, Fire, & Emergency Services","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,University programs,Girls as Leaders in STEM program",Post-school,6,True
R_MK0054499,2026-09-18 15:39:00,True,Gippsland,Female,No,2013,Yes,Traralgon East PS,Year 9,"Education, Training, & Childcare",Not sure,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program",School student,5,True
R_MK0055692,2026-09-30 12:00:00,True,Bendigo,Female,No,2018,Yes,Kangaroo Flat PS,Year 6,"Logistics, Driving, Delivery, & Warehousing","Agriculture, Farming, & Outdoor Work",Online STEM activities,School student,1,False
R_MK0056412,2026-10-10 10:10:00,True,Ballarat,Male,Yes,2016,Yes,Wendouree PS,Year 6,"Public Service, Police, Fire, & Emergency Services",Prefer not to say,"School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs",School student,5,False
R_MK0057690,2026-09-29 14:59:00,True,Ballarat,Female,Yes,2016,Yes,Sebastopol PS,Year 9,"Trades, Construction, Building, & Maintenance",Self-Employed / Small Business Owner,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,University programs,Girls as Leaders in STEM program",School student,6,True
R_MK0058975,2026-09-19 11:39:00,True,Bendigo,Male,No,2010,No,,Year 5,"Agriculture, Farming, & Outdoor Work",Other,Tech school programs,Post-school,1,False
R_MK0059350,2026-10-07 12:51:00,True,Geelong,Female,No,2011,Yes,Geelong West SC,Year 5,Self-Employed / Small Business Owner,Not sure,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0060505,2026-09-16 11:50:00,True,Ballarat,Female,Yes,2016,Yes,Ballarat East SC,Year 6,"Education, Training, & Childcare","Creative Arts, Design, & Media","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program",School student,4,True
R_MK0061473,2026-09-20 11:07:00,True,Geelong,Male,No,2013,Yes,Bellarine PS,Year 6,Prefer not to say,"Agriculture, Farming, & Outdoor Work","School club or lunchtime activity,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,False
R_MK0062875,2026-09-24 14:42:00,True,Geelong,Female,No,2008,Yes,Corio North PS,Year 8,"Manufacturing, Factory Work, & Assembly",Prefer not to say,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program",School student,4,True
R_MK0063584,2026-09-21 15:19:00,True,Gippsland,Female,No,2009,Yes,Latrobe Valley SC,Year 7,Prefer not to say,"Administration, Office Support, & Desk Roles","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program,Online STEM activities",School student,6,True
R_MK0064579,2026-10-09 11:56:00,True,Geelong,Female,No,2010,Yes,Geelong West SC,Year 6,"Business, Finance, Management, & Legal","Administration, Office Support, & Desk Roles","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program",School student,6,True
R_MK0065610,2026-10-06 12:20:00,True,Geelong,Female,Yes,2015,Yes,Waurn Ponds PS,Year 8,"Logistics, Driving, Delivery, & Warehousing","Science, Engineering, & Environment","University programs,Girls as Leaders in STEM program,Online STEM activities",School student,3,True
R_MK0066620,2026-09-23 09:20:00,True,Geelong,Female,Yes,2008,Yes,Corio North PS,Year 7,Prefer not to say,"Agriculture, Farming, & Outdoor Work","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0067929,2026-10-06 14:54:00,True,Ballarat,Male,No,2012,Yes,Sebastopol PS,Year 5,"Administration, Office Support, & Desk Roles","Education, Training, & Childcare","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Online STEM activities",School student,5,False
R_MK0068572,2026-09-15 11:32:00,True,Ararat,Female,Yes,2015,No,Going deeper than we do in normal class.,Year 11,Self-Employed / Small Business Owner,"Hospitality, Tourism, & Food Service","School club or lunchtime activity,University programs,Girls as Leaders in STEM program,Online STEM activities",Post-school,4,True
R_MK0069886,2026-10-07 14:01:00,True,Bendigo,Female,No,2011,Yes,Kangaroo Flat PS,Year 8,"Science, Engineering, & Environment","Logistics, Driving, Delivery, & Warehousing","Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,True
R_MK0070552,2026-10-07 10:29:00,True,Bendigo,Prefer not to say,No,2017,Yes,Kangaroo Flat PS,Year 8,Self-Employed / Small Business Owner,Prefer not to say,"School club or lunchtime activity,Tech school programs,University programs",School student,3,False
R_MK0071406,2026-10-10 13:48:00,True,Gippsland,Male,No,2017,Yes,Moe South PS,Year 6,"Manufacturing, Factory Work, & Assembly","Manufacturing, Factory Work, & Assembly","Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,False
R_MK0072687,2026-09-16 09:21:00,True,Ballarat,Female,No,2015,Yes,Ballarat East SC,Year 6,"Education, Training, & Childcare","Retail, Sales, & Customer Service","Tech school programs,University programs,Girls as Leaders in STEM program",School student,3,True
R_MK0073840,2026-10-04 11:40:00,True,Geelong,Female,No,2015,Yes,Corio North PS,Year 7,"Creative Arts, Design, & Media","Science, Engineering, & Environment","Girls as Leaders in STEM program,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,True
R_MK0074143,2026-10-05 11:01:00,True,Bendigo,Male,No,2018,Yes,Bendigo South SC,Year 8,"Healthcare, Nursing, & Medical Services","Home Duties, Homemaking, & Full-Time Caregiving","University programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,False
R_MK0075767,2026-09-19 14:36:00,True,Geelong,Female,Yes,2016,Yes,Waurn Ponds PS,Year 8,"Technology, IT, & Digital Systems","Public Service, Police, Fire, & Emergency Services","Tech school programs,Girls as Leaders in STEM program",School student,2,True
R_MK0076765,2026-09-24 10:46:00,True,Warnambool,Female,No,2015,Yes,Warrnambool West PS,Year 9,"Home Duties, Homemaking, & Full-Time Caregiving","Healthcare, Nursing, & Medical Services","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program,Online STEM activities",School student,5,True
R_MK0077639,2026-09-29 14:37:00,True,Warnambool,Female,No,2015,Yes,Emmanuel SC,Year 6,"Trades, Construction, Building, & Maintenance","Manufacturing, Factory Work, & Assembly","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs",School student,5,False
R_MK0078481,2026-09-25 13:50:00,True,Geelong,Female,No,2009,Yes,Corio North PS,Year 9,"Education, Training, & Childcare","Hospitality, Tourism, & Food Service","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0079582,2026-10-03 11:36:00,False,Geelong,Male,No,2011,Yes,Bellarine PS,Year 8,"Agriculture, Farming, & Outdoor Work","Business, Finance, Management, & Legal","Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,3,False
R_MK0080425,2026-10-06 13:58:00,True,Geelong,Female,Yes,2018,Yes,Waurn Ponds PS,Year 7,Self-Employed / Small Business Owner,"Hospitality, Tourism, & Food Service","Girls as Leaders in STEM program,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,True
R_MK0081132,2026-09-21 15:06:00,True,Geelong,Female,No,2013,Yes,Bellarine PS,Year 9,Self-Employed / Small Business Owner,Self-Employed / Small Business Owner,"School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0082408,2026-10-01 11:46:00,True,Bendigo,Female,Yes,2013,Yes,Bendigo South SC,Year 6,"Retail, Sales, & Customer Service","Retail, Sales, & Customer Service","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),University programs,Girls as Leaders in STEM program",School student,6,True
R_MK0083550,2026-09-19 10:22:00,True,Ballarat,Female,No,2017,No,Organising my group and working out who did what.,Year 9,Prefer not to say,"Agriculture, Farming, & Outdoor Work","Girls as Leaders in STEM program,Online STEM activities",Post-school,2,True
R_MK0084432,2026-10-05 09:34:00,True,Ballarat,Female,No,2009,Yes,Sebastopol PS,Year 9,"Education, Training, & Childcare","Administration, Office Support, & Desk Roles","School club or lunchtime activity,University programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,6,True
R_MK0085137,2026-09-27 13:34:00,True,Warnambool,Female,No,2016,No,"It wasn't like normal school, we chose what our project was about.",Year 11,"Creative Arts, Design, & Media","Trades, Construction, Building, & Maintenance","Tech school programs,University programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,6,True
R_MK0086766,2026-09-16 13:05:00,True,Ballarat,Female,No,2013,No,Organising my group and working out who did what.,,"Business, Finance, Management, & Legal","Agriculture, Farming, & Outdoor Work","Girls as Leaders in STEM program,Online STEM activities",Post-school,2,True
R_MK0087249,2026-10-07 09:39:00,False,Ballarat,Non-binary / third gender,No,2015,Yes,Wendouree PS,Year 8,"Home Duties, Homemaking, & Full-Time Caregiving","Technology, IT, & Digital Systems","School club or lunchtime activity,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,4,False
R_MK0088108,2026-10-11 14:51:00,True,Geelong,Female,No,2009,Yes,Geelong West SC,Year 5,"Healthcare, Nursing, & Medical Services","Logistics, Driving, Delivery, & Warehousing","School club or lunchtime activity,Girls as Leaders in STEM program",School student,2,True
R_MK0089171,2026-09-22 14:59:00,True,Bendigo,Male,No,2016,Yes,Bendigo South SC,Year 8,Not sure,"Education, Training, & Childcare","School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs",School student,5,False
R_MK0090543,2026-10-12 12:39:00,True,Geelong,Female,No,2015,Yes,Geelong West SC,Year 7,"Public Service, Police, Fire, & Emergency Services","Healthcare, Nursing, & Medical Services","Tech school programs,Girls as Leaders in STEM program,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,True
R_MK0091576,2026-10-08 15:03:00,True,Geelong,Female,No,2017,Yes,Corio North PS,Year 9,"Manufacturing, Factory Work, & Assembly","Administration, Office Support, & Desk Roles","Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Tech school programs,Girls as Leaders in STEM program",School student,5,True
R_MK0092239,2026-09-17 14:12:00,True,Warnambool,Non-binary / third gender,No,2018,Yes,Warrnambool West PS,Year 5,Not sure,Self-Employed / Small Business Owner,"Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup)",School student,3,False
R_MK0093403,2026-10-10 11:39:00,True,Geelong,Female,Yes,2010,No,"Programming the robot to move on its own, I'd never done that.",Year 7,"Public Service, Police, Fire, & Emergency Services",Other,"School club or lunchtime activity,Competitions (e.g. Australian Maths Olympiad, Australian Informatics Olympiad, Robocup),Girls as Leaders in STEM program,Online STEM activities",Post-school,6,True
R_MK0094607,2026-10-11 14:49:00,True,Bendigo,Female,No,2009,No,The research part where we had to find real evidence.,Year 7,"Manufacturing, Factory Work, & Assembly","Business, Finance, Management, & Legal","School club or lunchtime activity,Girls as Leaders in STEM program,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",Post-school,6,True
R_MK0095688,2026-10-06 12:00:00,True,Geelong,Male,No,2008,Yes,Waurn Ponds PS,Year 5,"Healthcare, Nursing, & Medical Services",Self-Employed / Small Business Owner,"School club or lunchtime activity,Tech school programs,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0096679,2026-10-06 09:36:00,True,Gippsland,Female,No,2009,No,Being in a small group where I wasn't scared to say the wrong thing.,Year 5,"Business, Finance, Management, & Legal",,"Tech school programs,Girls as Leaders in STEM program,Online STEM activities",Post-school,3,True
R_MK0097674,2026-09-15 13:40:00,True,Gippsland,Male,Yes,2013,Yes,Latrobe Valley SC,Year 5,Other,"Education, Training, & Childcare","Tech school programs,Online STEM activities,Excursions (for example BioLab, Serendip Sanctuary, Botanical Gardens or others)",School student,5,False
R_MK0098119,2026-10-05 13:58:00,True,Gippsland,Female,No,2009,No,"Using the 3D printer, I didn't know our school had one.",Year 6,"Healthcare, Nursing, & Medical Services","Education, Training, & Childcare","School club or lunchtime activity,University programs,Girls as Leaders in STEM program,Online STEM activities",Post-school,4,True
