ResponseId,activity_type,battery,item,source_column
R_MK0065907,School club or lunchtime activity,skills,Leadership,Q16
R_MK0065907,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0065907,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0089973,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0089973,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0089973,School club or lunchtime activity,skills,Leadership,Q16
R_MK0089973,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0089973,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0092907,School club or lunchtime activity,skills,Communication,Q16
R_MK0092907,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0092907,School club or lunchtime activity,skills,Leadership,Q16
R_MK0092907,School club or lunchtime activity,skills,Design,Q16
R_MK0092907,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0092907,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0094626,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0094626,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0094626,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0094626,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0094626,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0095142,School club or lunchtime activity,skills,Leadership,Q16
R_MK0095142,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0095142,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0096327,School club or lunchtime activity,skills,Design,Q16
R_MK0096327,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0101806,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0102522,School club or lunchtime activity,skills,Communication,Q16
R_MK0102522,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0102522,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0102522,School club or lunchtime activity,skills,Design,Q16
R_MK0102522,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0103956,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0103956,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0103956,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0103956,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0108835,School club or lunchtime activity,skills,Communication,Q16
R_MK0108835,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0108835,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0109124,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0109124,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0109124,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0109124,School club or lunchtime activity,skills,Design,Q16
R_MK0111624,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0111624,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0111624,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0112361,School club or lunchtime activity,skills,Communication,Q16
R_MK0112361,School club or lunchtime activity,skills,Leadership,Q16
R_MK0120834,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0120834,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0120834,School club or lunchtime activity,skills,Leadership,Q16
R_MK0120834,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0120834,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0121952,School club or lunchtime activity,skills,Communication,Q16
R_MK0122800,School club or lunchtime activity,skills,Communication,Q16
R_MK0122800,School club or lunchtime activity,skills,Leadership,Q16
R_MK0122800,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0122800,School club or lunchtime activity,skills,Design,Q16
R_MK0122800,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0127853,School club or lunchtime activity,skills,Communication,Q16
R_MK0127853,School club or lunchtime activity,skills,Leadership,Q16
R_MK0127853,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0127853,School club or lunchtime activity,skills,Design,Q16
R_MK0127853,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0129827,School club or lunchtime activity,skills,Communication,Q16
R_MK0129827,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0130464,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0132486,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0132486,School club or lunchtime activity,skills,Leadership,Q16
R_MK0132486,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0135917,School club or lunchtime activity,skills,Communication,Q16
R_MK0135917,School club or lunchtime activity,skills,Leadership,Q16
R_MK0135917,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0135917,School club or lunchtime activity,skills,Design,Q16
R_MK0136603,School club or lunchtime activity,skills,Communication,Q16
R_MK0136603,School club or lunchtime activity,skills,Leadership,Q16
R_MK0136603,School club or lunchtime activity,skills,Design,Q16
R_MK0136603,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0137508,School club or lunchtime activity,skills,Communication,Q16
R_MK0137508,School club or lunchtime activity,skills,Leadership,Q16
R_MK0137508,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0137508,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0138319,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0147525,School club or lunchtime activity,skills,Teamwork,Q16
R_MK0147525,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0147525,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0149433,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0149433,School club or lunchtime activity,skills,Design,Q16
R_MK0149433,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0151675,School club or lunchtime activity,skills,Leadership,Q16
R_MK0151675,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0151675,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0151675,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0152207,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0152207,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0153261,School club or lunchtime activity,skills,Creative thinking,Q16
R_MK0153261,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0153261,School club or lunchtime activity,skills,Design,Q16
R_MK0153261,School club or lunchtime activity,skills,Problem solving,Q16
R_MK0159874,School club or lunchtime activity,skills,Communication,Q16
R_MK0159874,School club or lunchtime activity,skills,Leadership,Q16
R_MK0159874,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0159874,School club or lunchtime activity,skills,Design,Q16
R_MK0159874,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0161224,School club or lunchtime activity,skills,Communication,Q16
R_MK0161224,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0161224,School club or lunchtime activity,skills,Responding flexibly to change,Q16
R_MK0163831,School club or lunchtime activity,skills,Communication,Q16
R_MK0171952,School club or lunchtime activity,skills,Experimenting,Q16
R_MK0177349,School club or lunchtime activity,skills,Communication,Q16
R_MK0177349,School club or lunchtime activity,skills,Critical thinking,Q16
R_MK0001265,School club or lunchtime activity,identity,A leader,Q74
R_MK0001265,School club or lunchtime activity,identity,A team player,Q74
R_MK0006572,School club or lunchtime activity,identity,A leader,Q74
R_MK0006572,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0007539,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0007539,School club or lunchtime activity,identity,A team player,Q74
R_MK0011453,School club or lunchtime activity,identity,A leader,Q74
R_MK0011453,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0014994,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0017794,School club or lunchtime activity,identity,A leader,Q74
R_MK0017794,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0017794,School club or lunchtime activity,identity,A team player,Q74
R_MK0019683,School club or lunchtime activity,identity,A leader,Q74
R_MK0019683,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0019683,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0019683,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0033442,School club or lunchtime activity,identity,A leader,Q74
R_MK0033442,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0033442,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0042725,School club or lunchtime activity,identity,A leader,Q74
R_MK0042725,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0042725,School club or lunchtime activity,identity,A designer,Q74
R_MK0046892,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0046892,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0047788,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0049733,School club or lunchtime activity,identity,A leader,Q74
R_MK0049733,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0049733,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0052388,School club or lunchtime activity,identity,A leader,Q74
R_MK0052388,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0052388,School club or lunchtime activity,identity,A designer,Q74
R_MK0052388,School club or lunchtime activity,identity,A team player,Q74
R_MK0062899,School club or lunchtime activity,identity,A designer,Q74
R_MK0062899,School club or lunchtime activity,identity,A team player,Q74
R_MK0065907,School club or lunchtime activity,identity,A leader,Q74
R_MK0065907,School club or lunchtime activity,identity,A team player,Q74
R_MK0089973,School club or lunchtime activity,identity,A leader,Q74
R_MK0092907,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0092907,School club or lunchtime activity,identity,A team player,Q74
R_MK0094626,School club or lunchtime activity,identity,A leader,Q74
R_MK0094626,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0094626,School club or lunchtime activity,identity,A designer,Q74
R_MK0095142,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0095142,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0095142,School club or lunchtime activity,identity,A designer,Q74
R_MK0096327,School club or lunchtime activity,identity,A leader,Q74
R_MK0101806,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0101806,School club or lunchtime activity,identity,A designer,Q74
R_MK0102522,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0102522,School club or lunchtime activity,identity,A designer,Q74
R_MK0103956,School club or lunchtime activity,identity,A leader,Q74
R_MK0108835,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0108835,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0108835,School club or lunchtime activity,identity,A designer,Q74
R_MK0108835,School club or lunchtime activity,identity,A team player,Q74
R_MK0109124,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0111624,School club or lunchtime activity,identity,A leader,Q74
R_MK0111624,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0111624,School club or lunchtime activity,identity,A designer,Q74
R_MK0112361,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0112361,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0120834,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0121952,School club or lunchtime activity,identity,A leader,Q74
R_MK0121952,School club or lunchtime activity,identity,A designer,Q74
R_MK0121952,School club or lunchtime activity,identity,A team player,Q74
R_MK0122800,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0122800,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0122800,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0122800,School club or lunchtime activity,identity,A team player,Q74
R_MK0127853,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0127853,School club or lunchtime activity,identity,A designer,Q74
R_MK0129827,School club or lunchtime activity,identity,A leader,Q74
R_MK0130464,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0130464,School club or lunchtime activity,identity,A designer,Q74
R_MK0130464,School club or lunchtime activity,identity,A team player,Q74
R_MK0132486,School club or lunchtime activity,identity,A leader,Q74
R_MK0132486,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0135917,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0136603,School club or lunchtime activity,identity,A leader,Q74
R_MK0136603,School club or lunchtime activity,identity,A team player,Q74
R_MK0137508,School club or lunchtime activity,identity,A leader,Q74
R_MK0137508,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0137508,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0137508,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0138319,School club or lunchtime activity,identity,A designer,Q74
R_MK0147525,School club or lunchtime activity,identity,A leader,Q74
R_MK0147525,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0147525,School club or lunchtime activity,identity,A designer,Q74
R_MK0149433,School club or lunchtime activity,identity,A leader,Q74
R_MK0149433,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0151675,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0151675,School club or lunchtime activity,identity,A STEM person,Q74
R_MK0151675,School club or lunchtime activity,identity,A team player,Q74
R_MK0152207,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0152207,School club or lunchtime activity,identity,A designer,Q74
R_MK0153261,School club or lunchtime activity,identity,A leader,Q74
R_MK0153261,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0153261,School club or lunchtime activity,identity,A designer,Q74
R_MK0153261,School club or lunchtime activity,identity,A team player,Q74
R_MK0159874,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0159874,School club or lunchtime activity,identity,A problem solver,Q74
R_MK0159874,School club or lunchtime activity,identity,A designer,Q74
R_MK0159874,School club or lunchtime activity,identity,A team player,Q74
R_MK0161224,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0161224,School club or lunchtime activity,identity,A designer,Q74
R_MK0163831,School club or lunchtime activity,identity,A leader,Q74
R_MK0163831,School club or lunchtime activity,identity,A good communicator,Q74
R_MK0171952,School club or lunchtime activity,identity,A designer,Q74
R_MK0171952,School club or lunchtime activity,identity,A team player,Q74
R_MK0177349,School club or lunchtime activity,identity,A designer,Q74
R_MK0003688,Competitions,skills,Communication,Q37
R_MK0003688,Competitions,skills,Critical thinking,Q37
R_MK0003688,Competitions,skills,Responding flexibly to change,Q37
R_MK0003688,Competitions,skills,Experimenting,Q37
R_MK0010378,Competitions,skills,Teamwork,Q37
R_MK0010378,Competitions,skills,Design,Q37
R_MK0010378,Competitions,skills,Experimenting,Q37
R_MK0011453,Competitions,skills,Leadership,Q37
R_MK0013834,Competitions,skills,Communication,Q37
R_MK0013834,Competitions,skills,Critical thinking,Q37
R_MK0013834,Competitions,skills,Leadership,Q37
R_MK0013834,Competitions,skills,Responding flexibly to change,Q37
R_MK0013834,Competitions,skills,Design,Q37
R_MK0013834,Competitions,skills,Problem solving,Q37
R_MK0014994,Competitions,skills,Teamwork,Q37
R_MK0014994,Competitions,skills,Leadership,Q37
R_MK0014994,Competitions,skills,Problem solving,Q37
R_MK0020216,Competitions,skills,Leadership,Q37
R_MK0020216,Competitions,skills,Problem solving,Q37
R_MK0021162,Competitions,skills,Teamwork,Q37
R_MK0021162,Competitions,skills,Creative thinking,Q37
R_MK0021162,Competitions,skills,Responding flexibly to change,Q37
R_MK0022405,Competitions,skills,Communication,Q37
R_MK0022405,Competitions,skills,Teamwork,Q37
R_MK0022405,Competitions,skills,Critical thinking,Q37
R_MK0022405,Competitions,skills,Responding flexibly to change,Q37
R_MK0032849,Competitions,skills,Communication,Q37
R_MK0032849,Competitions,skills,Leadership,Q37
R_MK0032849,Competitions,skills,Creative thinking,Q37
R_MK0032849,Competitions,skills,Responding flexibly to change,Q37
R_MK0032849,Competitions,skills,Design,Q37
R_MK0036294,Competitions,skills,Leadership,Q37
R_MK0036294,Competitions,skills,Responding flexibly to change,Q37
R_MK0036294,Competitions,skills,Problem solving,Q37
R_MK0037202,Competitions,skills,Communication,Q37
R_MK0037202,Competitions,skills,Leadership,Q37
R_MK0037202,Competitions,skills,Responding flexibly to change,Q37
R_MK0037202,Competitions,skills,Design,Q37
R_MK0037202,Competitions,skills,Problem solving,Q37
R_MK0043853,Competitions,skills,Design,Q37
R_MK0044771,Competitions,skills,Teamwork,Q37
R_MK0044771,Competitions,skills,Creative thinking,Q37
R_MK0044771,Competitions,skills,Experimenting,Q37
R_MK0045989,Competitions,skills,Teamwork,Q37
R_MK0045989,Competitions,skills,Leadership,Q37
R_MK0045989,Competitions,skills,Creative thinking,Q37
R_MK0048737,Competitions,skills,Critical thinking,Q37
R_MK0048737,Competitions,skills,Problem solving,Q37
R_MK0049733,Competitions,skills,Communication,Q37
R_MK0049733,Competitions,skills,Teamwork,Q37
R_MK0049733,Competitions,skills,Leadership,Q37
R_MK0049733,Competitions,skills,Responding flexibly to change,Q37
R_MK0049733,Competitions,skills,Design,Q37
R_MK0049733,Competitions,skills,Experimenting,Q37
R_MK0049733,Competitions,skills,Problem solving,Q37
R_MK0053734,Competitions,skills,Communication,Q37
R_MK0053734,Competitions,skills,Responding flexibly to change,Q37
R_MK0053734,Competitions,skills,Design,Q37
R_MK0057204,Competitions,skills,Responding flexibly to change,Q37
R_MK0059837,Competitions,skills,Communication,Q37
R_MK0059837,Competitions,skills,Teamwork,Q37
R_MK0059837,Competitions,skills,Leadership,Q37
R_MK0059837,Competitions,skills,Responding flexibly to change,Q37
R_MK0059837,Competitions,skills,Experimenting,Q37
R_MK0060527,Competitions,skills,Leadership,Q37
R_MK0060527,Competitions,skills,Design,Q37
R_MK0060527,Competitions,skills,Experimenting,Q37
R_MK0063902,Competitions,skills,Critical thinking,Q37
R_MK0063902,Competitions,skills,Experimenting,Q37
R_MK0065907,Competitions,skills,Teamwork,Q37
R_MK0065907,Competitions,skills,Responding flexibly to change,Q37
R_MK0070229,Competitions,skills,Communication,Q37
R_MK0070229,Competitions,skills,Teamwork,Q37
R_MK0070229,Competitions,skills,Creative thinking,Q37
R_MK0070229,Competitions,skills,Responding flexibly to change,Q37
R_MK0074273,Competitions,skills,Critical thinking,Q37
R_MK0074273,Competitions,skills,Problem solving,Q37
R_MK0076785,Competitions,skills,Critical thinking,Q37
R_MK0076785,Competitions,skills,Leadership,Q37
R_MK0076785,Competitions,skills,Responding flexibly to change,Q37
R_MK0076785,Competitions,skills,Experimenting,Q37
R_MK0078295,Competitions,skills,Experimenting,Q37
R_MK0079267,Competitions,skills,Teamwork,Q37
R_MK0079267,Competitions,skills,Leadership,Q37
R_MK0079267,Competitions,skills,Problem solving,Q37
R_MK0084225,Competitions,skills,Teamwork,Q37
R_MK0084225,Competitions,skills,Leadership,Q37
R_MK0084225,Competitions,skills,Responding flexibly to change,Q37
R_MK0084225,Competitions,skills,Design,Q37
R_MK0088386,Competitions,skills,Communication,Q37
R_MK0088386,Competitions,skills,Leadership,Q37
R_MK0088386,Competitions,skills,Creative thinking,Q37
R_MK0088386,Competitions,skills,Experimenting,Q37
R_MK0088386,Competitions,skills,Problem solving,Q37
R_MK0089973,Competitions,skills,Communication,Q37
R_MK0089973,Competitions,skills,Teamwork,Q37
R_MK0089973,Competitions,skills,Leadership,Q37
R_MK0090487,Competitions,skills,Critical thinking,Q37
R_MK0090487,Competitions,skills,Leadership,Q37
R_MK0090487,Competitions,skills,Responding flexibly to change,Q37
R_MK0090487,Competitions,skills,Design,Q37
R_MK0090487,Competitions,skills,Problem solving,Q37
R_MK0091120,Competitions,skills,Problem solving,Q37
R_MK0099158,Competitions,skills,Communication,Q37
R_MK0099158,Competitions,skills,Design,Q37
R_MK0103956,Competitions,skills,Critical thinking,Q37
R_MK0103956,Competitions,skills,Leadership,Q37
R_MK0103956,Competitions,skills,Problem solving,Q37
R_MK0104978,Competitions,skills,Teamwork,Q37
R_MK0104978,Competitions,skills,Critical thinking,Q37
R_MK0104978,Competitions,skills,Design,Q37
R_MK0104978,Competitions,skills,Experimenting,Q37
R_MK0104978,Competitions,skills,Problem solving,Q37
R_MK0107788,Competitions,skills,Communication,Q37
R_MK0107788,Competitions,skills,Critical thinking,Q37
R_MK0107788,Competitions,skills,Leadership,Q37
R_MK0107788,Competitions,skills,Creative thinking,Q37
R_MK0109124,Competitions,skills,Teamwork,Q37
R_MK0109124,Competitions,skills,Leadership,Q37
R_MK0109124,Competitions,skills,Creative thinking,Q37
R_MK0109124,Competitions,skills,Problem solving,Q37
R_MK0110762,Competitions,skills,Communication,Q37
R_MK0110762,Competitions,skills,Responding flexibly to change,Q37
R_MK0110762,Competitions,skills,Experimenting,Q37
R_MK0110762,Competitions,skills,Problem solving,Q37
R_MK0111624,Competitions,skills,Teamwork,Q37
R_MK0111624,Competitions,skills,Critical thinking,Q37
R_MK0111624,Competitions,skills,Responding flexibly to change,Q37
R_MK0111624,Competitions,skills,Experimenting,Q37
R_MK0113467,Competitions,skills,Design,Q37
R_MK0115748,Competitions,skills,Critical thinking,Q37
R_MK0115748,Competitions,skills,Leadership,Q37
R_MK0115748,Competitions,skills,Design,Q37
R_MK0115748,Competitions,skills,Experimenting,Q37
R_MK0115748,Competitions,skills,Problem solving,Q37
R_MK0117603,Competitions,skills,Leadership,Q37
R_MK0117603,Competitions,skills,Creative thinking,Q37
R_MK0117603,Competitions,skills,Responding flexibly to change,Q37
R_MK0117603,Competitions,skills,Experimenting,Q37
R_MK0117603,Competitions,skills,Problem solving,Q37
R_MK0118631,Competitions,skills,Leadership,Q37
R_MK0118631,Competitions,skills,Experimenting,Q37
R_MK0118631,Competitions,skills,Problem solving,Q37
R_MK0123453,Competitions,skills,Communication,Q37
R_MK0123453,Competitions,skills,Teamwork,Q37
R_MK0123453,Competitions,skills,Leadership,Q37
R_MK0123453,Competitions,skills,Design,Q37
R_MK0123453,Competitions,skills,Problem solving,Q37
R_MK0125281,Competitions,skills,Communication,Q37
R_MK0125281,Competitions,skills,Responding flexibly to change,Q37
R_MK0125281,Competitions,skills,Experimenting,Q37
R_MK0125281,Competitions,skills,Problem solving,Q37
R_MK0130464,Competitions,skills,Critical thinking,Q37
R_MK0130464,Competitions,skills,Leadership,Q37
R_MK0130464,Competitions,skills,Design,Q37
R_MK0130464,Competitions,skills,Experimenting,Q37
R_MK0132486,Competitions,skills,Teamwork,Q37
R_MK0132486,Competitions,skills,Critical thinking,Q37
R_MK0132486,Competitions,skills,Leadership,Q37
R_MK0132486,Competitions,skills,Design,Q37
R_MK0132486,Competitions,skills,Experimenting,Q37
R_MK0135917,Competitions,skills,Teamwork,Q37
R_MK0135917,Competitions,skills,Leadership,Q37
R_MK0135917,Competitions,skills,Creative thinking,Q37
R_MK0139468,Competitions,skills,Critical thinking,Q37
R_MK0139468,Competitions,skills,Responding flexibly to change,Q37
R_MK0139468,Competitions,skills,Design,Q37
R_MK0140416,Competitions,skills,Communication,Q37
R_MK0140416,Competitions,skills,Problem solving,Q37
R_MK0142928,Competitions,skills,Creative thinking,Q37
R_MK0142928,Competitions,skills,Experimenting,Q37
R_MK0145593,Competitions,skills,Communication,Q37
R_MK0145593,Competitions,skills,Teamwork,Q37
R_MK0145593,Competitions,skills,Creative thinking,Q37
R_MK0145593,Competitions,skills,Design,Q37
R_MK0150172,Competitions,skills,Creative thinking,Q37
R_MK0150172,Competitions,skills,Design,Q37
R_MK0150172,Competitions,skills,Problem solving,Q37
R_MK0156575,Competitions,skills,Design,Q37
R_MK0157758,Competitions,skills,Communication,Q37
R_MK0157758,Competitions,skills,Creative thinking,Q37
R_MK0157758,Competitions,skills,Responding flexibly to change,Q37
R_MK0157758,Competitions,skills,Experimenting,Q37
R_MK0160930,Competitions,skills,Critical thinking,Q37
R_MK0160930,Competitions,skills,Responding flexibly to change,Q37
R_MK0160930,Competitions,skills,Design,Q37
R_MK0162746,Competitions,skills,Critical thinking,Q37
R_MK0162746,Competitions,skills,Responding flexibly to change,Q37
R_MK0166129,Competitions,skills,Communication,Q37
R_MK0166129,Competitions,skills,Critical thinking,Q37
R_MK0169620,Competitions,skills,Communication,Q37
R_MK0169620,Competitions,skills,Creative thinking,Q37
R_MK0169620,Competitions,skills,Experimenting,Q37
R_MK0171952,Competitions,skills,Teamwork,Q37
R_MK0171952,Competitions,skills,Critical thinking,Q37
R_MK0171952,Competitions,skills,Design,Q37
R_MK0171952,Competitions,skills,Experimenting,Q37
R_MK0171952,Competitions,skills,Problem solving,Q37
R_MK0173432,Competitions,skills,Responding flexibly to change,Q37
R_MK0173432,Competitions,skills,Design,Q37
R_MK0173432,Competitions,skills,Experimenting,Q37
R_MK0175836,Competitions,skills,Teamwork,Q37
R_MK0175836,Competitions,skills,Critical thinking,Q37
R_MK0175836,Competitions,skills,Experimenting,Q37
R_MK0176600,Competitions,skills,Creative thinking,Q37
R_MK0176600,Competitions,skills,Design,Q37
R_MK0176600,Competitions,skills,Problem solving,Q37
R_MK0003688,Competitions,identity,A good communicator,Q75
R_MK0003688,Competitions,identity,A designer,Q75
R_MK0010378,Competitions,identity,A problem solver,Q75
R_MK0010378,Competitions,identity,A team player,Q75
R_MK0011453,Competitions,identity,A team player,Q75
R_MK0013834,Competitions,identity,A good communicator,Q75
R_MK0013834,Competitions,identity,A problem solver,Q75
R_MK0014994,Competitions,identity,A good communicator,Q75
R_MK0014994,Competitions,identity,A STEM person,Q75
R_MK0020216,Competitions,identity,A leader,Q75
R_MK0021162,Competitions,identity,A problem solver,Q75
R_MK0021162,Competitions,identity,A team player,Q75
R_MK0022405,Competitions,identity,A leader,Q75
