ResponseId,question_group,question,item,multi_select,source_column
R_MK0065610,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0066620,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0067929,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0067929,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0067929,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0069886,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0069886,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0069886,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0069886,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0070552,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0070552,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0071406,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0071406,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0072687,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0072687,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0072687,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0073840,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0074143,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0075767,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0075767,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0075767,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0075767,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0077639,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0077639,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0077639,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0078481,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0078481,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0078481,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0078481,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0079582,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0079582,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0080425,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0080425,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0080425,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0081132,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0081132,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0081132,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0081132,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0082408,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0084432,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0088108,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0088108,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0089171,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0089171,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0089171,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0090543,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0090543,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0090543,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0090543,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0091576,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0091576,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0092239,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0092239,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0092239,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0092239,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0097674,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0097674,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0097674,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0097674,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0097674,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0099227,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0099227,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0100914,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0100914,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0100914,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0100914,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0100914,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0101816,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0102866,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0102866,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0102866,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0103899,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0103899,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0103899,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0104469,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0104469,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0104469,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0104469,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0106951,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0106951,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0110138,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0110138,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0110138,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0111137,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0111137,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0112381,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0112381,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0112381,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0113434,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0113434,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0113434,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0113434,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0116277,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0116277,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0116277,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0116277,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0118601,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0118601,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0119688,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0119688,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0119688,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0119688,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0119688,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0120370,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0120370,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0120370,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0120370,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0120370,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0121297,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0121297,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0122334,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0122334,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0123776,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0124554,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0124554,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0124554,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0124554,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0124554,Subject selection,Subjects interested in studying in Year 11 or 12,I am not sure yet,True,Q20
R_MK0125621,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0125621,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0125621,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0125621,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0128312,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0128312,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0128312,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0129652,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0130784,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0130784,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0130784,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0130784,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0130784,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0131904,Subject selection,Subjects interested in studying in Year 11 or 12,Mathematics,True,Q20
R_MK0131904,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0131904,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0131904,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,Science,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,Health or environmental studies,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,Business or commerce,True,Q20
R_MK0132200,Subject selection,Subjects interested in studying in Year 11 or 12,Vocational or applied learning subjects,True,Q20
R_MK0133162,Subject selection,Subjects interested in studying in Year 11 or 12,Digital and design technologies,True,Q20
R_MK0133162,Subject selection,Subjects interested in studying in Year 11 or 12,Arts,True,Q20
R_MK0133162,Subject selection,Subjects interested in studying in Year 11 or 12,humanities or social sciences,True,Q20
