ResponseId,activity_type,battery,item,response,response_code,score,is_dont_know,source_column
R_MK0091716,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0105543,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0106136,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0112332,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0116896,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0117597,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0120777,School club or lunchtime activity,outcomes,More knowledgable about STEM,I do not know,5,,True,Q15_1
R_MK0121824,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0123377,School club or lunchtime activity,outcomes,More knowledgable about STEM,I do not know,5,,True,Q15_1
R_MK0124835,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0126334,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0130102,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0133624,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0134295,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0135330,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0137222,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0139904,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0144860,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0146961,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0148593,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0149622,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0150326,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0151723,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0156575,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0159431,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0160688,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0161479,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0163738,School club or lunchtime activity,outcomes,More knowledgable about STEM,No,4,1,False,Q15_1
R_MK0166521,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0167936,School club or lunchtime activity,outcomes,More knowledgable about STEM,Maybe,3,2,False,Q15_1
R_MK0168112,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0169179,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a lot,1,4,False,Q15_1
R_MK0176592,School club or lunchtime activity,outcomes,More knowledgable about STEM,Yes a little,2,3,False,Q15_1
R_MK0006588,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0009873,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0010513,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0011479,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0016269,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0020810,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0021392,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0028706,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0036376,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0040482,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0048618,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0056243,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0059808,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0061389,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0064312,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0065971,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0067782,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0075610,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0076859,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0077148,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0081775,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0085820,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0087342,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0091716,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0105543,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0106136,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0112332,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0116896,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0117597,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0120777,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0121824,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0123377,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0124835,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0126334,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0130102,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0133624,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0134295,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0135330,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0137222,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,I do not know,5,,True,Q15_2
R_MK0139904,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0144860,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0146961,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0148593,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0149622,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0150326,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0151723,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0156575,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0159431,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0160688,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0161479,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,I do not know,5,,True,Q15_2
R_MK0163738,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,No,4,1,False,Q15_2
R_MK0166521,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a lot,1,4,False,Q15_2
R_MK0167936,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0168112,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Maybe,3,2,False,Q15_2
R_MK0169179,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0176592,School club or lunchtime activity,outcomes,More aware of a range of jobs in STEM,Yes a little,2,3,False,Q15_2
R_MK0006588,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0009873,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0010513,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0011479,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0016269,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0020810,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0021392,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0028706,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0036376,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0040482,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0048618,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0056243,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0059808,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0061389,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0064312,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0065971,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0067782,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0075610,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0076859,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0077148,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0081775,School club or lunchtime activity,outcomes,More interested in learning about STEM,I do not know,5,,True,Q15_3
R_MK0085820,School club or lunchtime activity,outcomes,More interested in learning about STEM,I do not know,5,,True,Q15_3
R_MK0087342,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0091716,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0105543,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0106136,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0112332,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0116896,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0117597,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0120777,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0121824,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0123377,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0124835,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0126334,School club or lunchtime activity,outcomes,More interested in learning about STEM,I do not know,5,,True,Q15_3
R_MK0130102,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0133624,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0134295,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0135330,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0137222,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0139904,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0144860,School club or lunchtime activity,outcomes,More interested in learning about STEM,I do not know,5,,True,Q15_3
R_MK0146961,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0148593,School club or lunchtime activity,outcomes,More interested in learning about STEM,I do not know,5,,True,Q15_3
R_MK0149622,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0150326,School club or lunchtime activity,outcomes,More interested in learning about STEM,No,4,1,False,Q15_3
R_MK0151723,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0156575,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0159431,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a lot,1,4,False,Q15_3
R_MK0160688,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0161479,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0163738,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0166521,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0167936,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0168112,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0169179,School club or lunchtime activity,outcomes,More interested in learning about STEM,Maybe,3,2,False,Q15_3
R_MK0176592,School club or lunchtime activity,outcomes,More interested in learning about STEM,Yes a little,2,3,False,Q15_3
R_MK0006588,School club or lunchtime activity,outcomes,More confident in solving STEM problems,No,4,1,False,Q15_4
R_MK0009873,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0010513,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0011479,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0016269,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0020810,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0021392,School club or lunchtime activity,outcomes,More confident in solving STEM problems,No,4,1,False,Q15_4
R_MK0028706,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0036376,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0040482,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0048618,School club or lunchtime activity,outcomes,More confident in solving STEM problems,I do not know,5,,True,Q15_4
R_MK0056243,School club or lunchtime activity,outcomes,More confident in solving STEM problems,No,4,1,False,Q15_4
R_MK0059808,School club or lunchtime activity,outcomes,More confident in solving STEM problems,No,4,1,False,Q15_4
R_MK0061389,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0064312,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0065971,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0067782,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0075610,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0076859,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0077148,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0081775,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0085820,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0087342,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0091716,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0105543,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0106136,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0112332,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0116896,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0117597,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0120777,School club or lunchtime activity,outcomes,More confident in solving STEM problems,I do not know,5,,True,Q15_4
R_MK0121824,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0123377,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0124835,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0126334,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0130102,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0133624,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0134295,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0135330,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0137222,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0139904,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0144860,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0146961,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0148593,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0149622,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0150326,School club or lunchtime activity,outcomes,More confident in solving STEM problems,No,4,1,False,Q15_4
R_MK0151723,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0156575,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0159431,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0160688,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0161479,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a little,2,3,False,Q15_4
R_MK0163738,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Maybe,3,2,False,Q15_4
R_MK0166521,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0167936,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0168112,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0169179,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0176592,School club or lunchtime activity,outcomes,More confident in solving STEM problems,Yes a lot,1,4,False,Q15_4
R_MK0006588,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0009873,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0010513,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",No,4,1,False,Q15_5
R_MK0011479,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0016269,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0020810,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0021392,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",No,4,1,False,Q15_5
R_MK0028706,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0036376,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0040482,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0048618,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0056243,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0059808,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0061389,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0064312,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0065971,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0067782,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0075610,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0076859,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0077148,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0081775,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0085820,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0087342,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0091716,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Maybe,3,2,False,Q15_5
R_MK0105543,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0106136,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0112332,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0116896,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a little,2,3,False,Q15_5
R_MK0117597,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0120777,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
R_MK0121824,School club or lunchtime activity,outcomes,"More comfortable with using tools, technology and equipment",Yes a lot,1,4,False,Q15_5
