ResponseId,question,source_column,response
R_MK0090389,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0091876,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0092993,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0093980,Please specify what job adult 1 does,Q101,The mentor said she was first in her family to go to uni too.
R_MK0095230,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0096996,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0098452,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0099421,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0101410,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0102922,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0103475,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0104395,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0105282,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0106320,Please specify what job adult 1 does,Q101,Talking to the women in STEM about their actual day to day jobs.
R_MK0107776,Please specify what job adult 1 does,Q101,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0108980,Please specify what job adult 1 does,Q101,Testing the water in the creek near us and finding what was in it.
R_MK0109195,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0110664,Please specify what job adult 1 does,Q101,"Making a game, I didn't know you could learn that at school."
R_MK0111523,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0113390,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0114407,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0115544,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0116551,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0117485,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0118387,Please specify what job adult 1 does,Q101,Making the model with real tools. It felt like proper work.
R_MK0119555,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0120712,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0121750,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0122220,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0123827,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0126301,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0127198,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0128432,Please specify what job adult 1 does,Q101,"Designing how our project looked, not just how it worked."
R_MK0130434,Please specify what job adult 1 does,Q101,Making the poster and the model together.
R_MK0131873,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0133143,Please specify what job adult 1 does,Q101,"Going to the university campus, I'd never been to one."
R_MK0136611,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0137297,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0138187,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0139318,Please specify what job adult 1 does,Q101,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0140948,Please specify what job adult 1 does,Q101,Organising my group and working out who did what.
R_MK0141765,Please specify what job adult 1 does,Q101,"Using the 3D printer, I didn't know our school had one."
R_MK0142635,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0143213,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0144114,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0146786,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0147685,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0148686,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0149979,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0150646,Please specify what job adult 1 does,Q101,"Using the 3D printer, I didn't know our school had one."
R_MK0151881,Please specify what job adult 1 does,Q101,We made something for our town that people could actually use.
R_MK0152875,Please specify what job adult 1 does,Q101,We made something for our town that people could actually use.
R_MK0154688,Please specify what job adult 1 does,Q101,We made something for our town that people could actually use.
R_MK0155252,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0156925,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0157625,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0158570,Please specify what job adult 1 does,Q101,"Going to the university campus, I'd never been to one."
R_MK0159394,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0160207,Please specify what job adult 1 does,Q101,The video call with the scientist who works with livestock.
R_MK0161135,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0162440,Please specify what job adult 1 does,Q101,The coding part. I do a bit at home but this was harder.
R_MK0164857,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0165270,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0166535,Please specify what job adult 1 does,Q101,"Getting to build something that actually worked, not just learn about it."
R_MK0167642,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0168682,Please specify what job adult 1 does,Q101,Making the model with real tools. It felt like proper work.
R_MK0169480,Please specify what job adult 1 does,Q101,"Programming the robot to move on its own, I'd never done that."
R_MK0170206,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0171333,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0172455,Please specify what job adult 1 does,Q101,Doing the experiments myself instead of watching the teacher do it.
R_MK0173914,Please specify what job adult 1 does,Q101,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0174736,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0175516,Please specify what job adult 1 does,Q101,The excursion where we surveyed the wetlands.
R_MK0176625,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0177555,Please specify what job adult 1 does,Q101,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0178501,Please specify what job adult 1 does,Q101,Talking to the women in STEM about their actual day to day jobs.
R_MK0179279,Please specify what job adult 1 does,Q101,I liked that we could test our own ideas even when they didn't work.
R_MK0180740,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0181551,Please specify what job adult 1 does,Q101,Getting to do it here instead of travelling to the city.
R_MK0183724,Please specify what job adult 1 does,Q101,"Going to the university campus, I'd never been to one."
R_MK0184967,Please specify what job adult 1 does,Q101,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0186474,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0187606,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0188526,Please specify what job adult 1 does,Q101,Finding out design is part of engineering too.
R_MK0190318,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0191719,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0192452,Please specify what job adult 1 does,Q101,"Presenting our project, I liked explaining it to the parents."
R_MK0193689,Please specify what job adult 1 does,Q101,Doing the experiments myself instead of watching the teacher do it.
R_MK0195618,Please specify what job adult 1 does,Q101,"It wasn't like normal school, we chose what our project was about."
R_MK0196526,Please specify what job adult 1 does,Q101,"Getting to build something that actually worked, not just learn about it."
R_MK0197884,Please specify what job adult 1 does,Q101,Learning science can fix real problems in our own town.
R_MK0198144,Please specify what job adult 1 does,Q101,The teachers actually listened to our ideas.
R_MK0199283,Please specify what job adult 1 does,Q101,"Going to the university campus, I'd never been to one."
R_MK0000230,Please specify what job adult 2 does,Q103,The video call with the scientist who works with livestock.
R_MK0001786,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0002815,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0003322,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0004990,Please specify what job adult 2 does,Q103,The teachers actually listened to our ideas.
R_MK0005946,Please specify what job adult 2 does,Q103,The research part where we had to find real evidence.
R_MK0006808,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0007232,Please specify what job adult 2 does,Q103,The excursion where we surveyed the wetlands.
R_MK0008831,Please specify what job adult 2 does,Q103,The research part where we had to find real evidence.
R_MK0009333,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0010575,Please specify what job adult 2 does,Q103,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0011791,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0012972,Please specify what job adult 2 does,Q103,The research part where we had to find real evidence.
R_MK0013180,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0014454,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0015550,Please specify what job adult 2 does,Q103,Organising my group and working out who did what.
R_MK0017380,Please specify what job adult 2 does,Q103,Organising my group and working out who did what.
R_MK0018690,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0019930,Please specify what job adult 2 does,Q103,Doing the experiments myself instead of watching the teacher do it.
R_MK0020980,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0021933,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0022718,Please specify what job adult 2 does,Q103,Making the poster and the model together.
R_MK0023668,Please specify what job adult 2 does,Q103,The excursion where we surveyed the wetlands.
R_MK0025610,Please specify what job adult 2 does,Q103,Finding out design is part of engineering too.
R_MK0028356,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0030970,Please specify what job adult 2 does,Q103,"Going to the university campus, I'd never been to one."
R_MK0032509,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0033335,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0034350,Please specify what job adult 2 does,Q103,The teachers actually listened to our ideas.
R_MK0035441,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0036107,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0037791,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0038256,Please specify what job adult 2 does,Q103,Finding out design is part of engineering too.
R_MK0039933,Please specify what job adult 2 does,Q103,We made something for our town that people could actually use.
R_MK0040310,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
R_MK0041373,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0042834,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0043512,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0044485,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0045791,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0046760,Please specify what job adult 2 does,Q103,"Getting to build something that actually worked, not just learn about it."
R_MK0047188,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
R_MK0048478,Please specify what job adult 2 does,Q103,Going deeper than we do in normal class.
R_MK0049894,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0051347,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0052338,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0053831,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0054762,Please specify what job adult 2 does,Q103,Getting to do it here instead of travelling to the city.
R_MK0055948,Please specify what job adult 2 does,Q103,Finding out design is part of engineering too.
R_MK0056163,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0057596,Please specify what job adult 2 does,Q103,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0058290,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0059929,Please specify what job adult 2 does,Q103,The video call with the scientist who works with livestock.
R_MK0061886,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0062803,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0063234,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0064858,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0065636,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0066188,Please specify what job adult 2 does,Q103,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0067519,Please specify what job adult 2 does,Q103,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0068175,Please specify what job adult 2 does,Q103,"Going to the university campus, I'd never been to one."
R_MK0070451,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0071612,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0072575,Please specify what job adult 2 does,Q103,Finding out design is part of engineering too.
R_MK0074541,Please specify what job adult 2 does,Q103,Making the poster and the model together.
R_MK0075585,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0076253,Please specify what job adult 2 does,Q103,The teachers actually listened to our ideas.
R_MK0077994,Please specify what job adult 2 does,Q103,The video call with the scientist who works with livestock.
R_MK0078844,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0079265,Please specify what job adult 2 does,Q103,Talking to the women in STEM about their actual day to day jobs.
R_MK0080769,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0081259,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0082485,Please specify what job adult 2 does,Q103,We made something for our town that people could actually use.
R_MK0085577,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0086182,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
R_MK0087310,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0088320,Please specify what job adult 2 does,Q103,"Going to the university campus, I'd never been to one."
R_MK0089770,Please specify what job adult 2 does,Q103,Making the model with real tools. It felt like proper work.
R_MK0090389,Please specify what job adult 2 does,Q103,"Going to the university campus, I'd never been to one."
R_MK0091876,Please specify what job adult 2 does,Q103,Doing the experiments myself instead of watching the teacher do it.
R_MK0093980,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0094131,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0095230,Please specify what job adult 2 does,Q103,Organising my group and working out who did what.
R_MK0096996,Please specify what job adult 2 does,Q103,"It wasn't like normal school, we chose what our project was about."
R_MK0098452,Please specify what job adult 2 does,Q103,The video call with the scientist who works with livestock.
R_MK0099421,Please specify what job adult 2 does,Q103,"It wasn't like normal school, we chose what our project was about."
R_MK0100836,Please specify what job adult 2 does,Q103,The video call with the scientist who works with livestock.
R_MK0103475,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0104395,Please specify what job adult 2 does,Q103,I liked that we could test our own ideas even when they didn't work.
R_MK0105282,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0106320,Please specify what job adult 2 does,Q103,Talking to the women in STEM about their actual day to day jobs.
R_MK0107776,Please specify what job adult 2 does,Q103,"Presenting our project, I liked explaining it to the parents."
R_MK0108980,Please specify what job adult 2 does,Q103,The excursion where we surveyed the wetlands.
R_MK0109195,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0110664,Please specify what job adult 2 does,Q103,"It wasn't like normal school, we chose what our project was about."
R_MK0111523,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0112255,Please specify what job adult 2 does,Q103,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0113390,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0114407,Please specify what job adult 2 does,Q103,Making the poster and the model together.
R_MK0115544,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0118387,Please specify what job adult 2 does,Q103,Making the model with real tools. It felt like proper work.
R_MK0119555,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0120712,Please specify what job adult 2 does,Q103,Getting to do it here instead of travelling to the city.
R_MK0121750,Please specify what job adult 2 does,Q103,Doing the experiments myself instead of watching the teacher do it.
R_MK0122220,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0123827,Please specify what job adult 2 does,Q103,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0124214,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0125450,Please specify what job adult 2 does,Q103,I liked that we could test our own ideas even when they didn't work.
R_MK0126301,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0127198,Please specify what job adult 2 does,Q103,Learning science can fix real problems in our own town.
R_MK0128432,Please specify what job adult 2 does,Q103,Making the poster and the model together.
R_MK0129618,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0130434,Please specify what job adult 2 does,Q103,Finding out design is part of engineering too.
R_MK0131873,Please specify what job adult 2 does,Q103,"Finding out health jobs are STEM jobs, I thought STEM was just computers."
R_MK0132817,Please specify what job adult 2 does,Q103,The excursion where we surveyed the wetlands.
R_MK0133143,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0134410,Please specify what job adult 2 does,Q103,The mentor said she was first in her family to go to uni too.
R_MK0135125,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0136611,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0137297,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0138187,Please specify what job adult 2 does,Q103,"Meeting the mentor who works in tech, I asked her heaps of questions."
R_MK0139318,Please specify what job adult 2 does,Q103,Organising my group and working out who did what.
R_MK0140948,Please specify what job adult 2 does,Q103,Organising my group and working out who did what.
R_MK0141765,Please specify what job adult 2 does,Q103,We made something for our town that people could actually use.
R_MK0142635,Please specify what job adult 2 does,Q103,"Designing how our project looked, not just how it worked."
R_MK0143213,Please specify what job adult 2 does,Q103,Testing the water in the creek near us and finding what was in it.
R_MK0144114,Please specify what job adult 2 does,Q103,Getting to do it here instead of travelling to the city.
R_MK0145577,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0146786,Please specify what job adult 2 does,Q103,Getting to do it here instead of travelling to the city.
R_MK0148686,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
R_MK0149979,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0150646,Please specify what job adult 2 does,Q103,We made something for our town that people could actually use.
R_MK0151881,Please specify what job adult 2 does,Q103,Making the model with real tools. It felt like proper work.
R_MK0152875,Please specify what job adult 2 does,Q103,Making the model with real tools. It felt like proper work.
R_MK0154688,Please specify what job adult 2 does,Q103,Making the model with real tools. It felt like proper work.
R_MK0155252,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0156925,Please specify what job adult 2 does,Q103,"Making a game, I didn't know you could learn that at school."
R_MK0158570,Please specify what job adult 2 does,Q103,"Going to the university campus, I'd never been to one."
R_MK0159394,Please specify what job adult 2 does,Q103,Being in a small group where I wasn't scared to say the wrong thing.
R_MK0160207,Please specify what job adult 2 does,Q103,"Learning the science behind farming, which is what my family does."
R_MK0161135,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
R_MK0162440,Please specify what job adult 2 does,Q103,"Getting to build something that actually worked, not just learn about it."
R_MK0166535,Please specify what job adult 2 does,Q103,"Getting to build something that actually worked, not just learn about it."
R_MK0167642,Please specify what job adult 2 does,Q103,"Getting to build something that actually worked, not just learn about it."
R_MK0168682,Please specify what job adult 2 does,Q103,We made something for our town that people could actually use.
R_MK0169480,Please specify what job adult 2 does,Q103,"Programming the robot to move on its own, I'd never done that."
R_MK0170206,Please specify what job adult 2 does,Q103,Doing the experiments myself instead of watching the teacher do it.
R_MK0171333,Please specify what job adult 2 does,Q103,The coding part. I do a bit at home but this was harder.
