ResponseId,item,response,response_code,score,is_dont_know,source_column
R_MK0049860,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0050307,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0051679,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0052370,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0053388,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0054499,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0056412,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0057690,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0059350,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0060505,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0061473,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0062875,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0063584,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0064579,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0065610,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0067929,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0068572,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0069886,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0070552,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0071406,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0072687,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0073840,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0074143,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0075767,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0076765,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0077639,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0078481,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0079582,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0080425,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0081132,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0082408,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0083550,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0085137,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0086766,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0087249,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0090543,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0091576,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0093403,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0095688,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0096679,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0097674,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0098119,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0099227,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0100914,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0102866,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0103899,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0104469,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0105582,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0106951,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0107157,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0108530,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0109787,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0110138,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0111137,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0112381,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0113434,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0114344,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0116277,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0117584,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0118601,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0119688,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0120370,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0121297,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0122334,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0123776,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0124554,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0125621,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0126126,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0128312,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0129652,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0130784,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0131904,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0132200,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0133162,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0134540,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0135905,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0136936,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0138439,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0139460,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0140452,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0142815,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0143734,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0144185,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0145711,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0147584,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0148883,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0149612,I can imagine myself doing a job that uses STEM,No,4,1,False,Q25_1
R_MK0150239,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0151336,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0152384,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0153565,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0154754,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0155619,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0156966,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0157937,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0158474,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0159733,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0160733,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0161254,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0162481,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0163945,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0164227,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0165174,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0166745,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0167637,I can imagine myself doing a job that uses STEM,Maybe,3,2,False,Q25_1
R_MK0168775,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0169479,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0170181,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0171613,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0172371,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0173150,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0174572,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0175538,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0176790,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0177409,I can imagine myself doing a job that uses STEM,I do not know,5,,True,Q25_1
R_MK0178316,I can imagine myself doing a job that uses STEM,Yes a lotI,1,4,False,Q25_1
R_MK0179159,I can imagine myself doing a job that uses STEM,Yes a little,2,3,False,Q25_1
R_MK0000627,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0001988,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0002347,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0003730,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0004719,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0006905,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0008384,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0009361,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0010793,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0011527,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0012224,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0013321,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0014269,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0017754,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0019133,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0020431,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0021482,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0022458,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0023977,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0025500,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0026571,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0027927,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0028258,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0029779,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0030633,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0031816,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0032287,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0033998,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0034390,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0035805,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0036231,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0037540,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0038406,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0039929,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0040419,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0041486,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0042213,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0043282,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0044213,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0045654,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0046112,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0047577,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0049860,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0050307,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0051679,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0052370,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0053388,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0054499,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0056412,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0057690,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0059350,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0060505,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0061473,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0062875,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0063584,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0064579,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0065610,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0067929,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0068572,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0069886,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0070552,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0071406,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0072687,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0073840,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0074143,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0075767,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0076765,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0077639,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0078481,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0079582,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0080425,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0081132,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0082408,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0083550,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0085137,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0086766,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0087249,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0090543,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0091576,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0093403,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0095688,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0096679,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0097674,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0098119,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0099227,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0100914,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0102866,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0103899,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0104469,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0105582,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0106951,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0107157,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0108530,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0109787,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0110138,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0111137,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0112381,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0113434,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0114344,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0116277,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0117584,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0118601,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0119688,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0120370,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0121297,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0122334,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0123776,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0124554,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0125621,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0126126,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0128312,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0129652,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0130784,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0131904,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0132200,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0133162,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0134540,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0135905,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0136936,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0138439,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0139460,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0140452,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0142815,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0143734,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0144185,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0145711,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0147584,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0148883,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0149612,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0150239,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0151336,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0152384,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0153565,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0154754,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0155619,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0156966,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0157937,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0158474,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0159733,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0160733,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0161254,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0162481,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0163945,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0164227,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0165174,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0166745,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0167637,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0168775,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0169479,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0170181,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0171613,A STEM job sounds like something I could do,Maybe,3,2,False,Q25_2
R_MK0172371,A STEM job sounds like something I could do,No,4,1,False,Q25_2
R_MK0173150,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0174572,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0175538,A STEM job sounds like something I could do,Yes a little,2,3,False,Q25_2
R_MK0176790,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0177409,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0178316,A STEM job sounds like something I could do,Yes a lotI,1,4,False,Q25_2
R_MK0179159,A STEM job sounds like something I could do,I do not know,5,,True,Q25_2
R_MK0000627,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0001988,I know about different kinds of jobs that use STEM,I do not know,5,,True,Q25_3
R_MK0002347,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0003730,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0004719,I know about different kinds of jobs that use STEM,Yes a lotI,1,4,False,Q25_3
R_MK0006905,I know about different kinds of jobs that use STEM,Yes a lotI,1,4,False,Q25_3
R_MK0008384,I know about different kinds of jobs that use STEM,Maybe,3,2,False,Q25_3
R_MK0009361,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0010793,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0011527,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0012224,I know about different kinds of jobs that use STEM,Maybe,3,2,False,Q25_3
R_MK0013321,I know about different kinds of jobs that use STEM,Yes a little,2,3,False,Q25_3
R_MK0014269,I know about different kinds of jobs that use STEM,Yes a lotI,1,4,False,Q25_3
R_MK0017754,I know about different kinds of jobs that use STEM,Yes a lotI,1,4,False,Q25_3
